gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001659,2020-12-31,2021-06-30,2020.0,ANDE,034164103,ANDERSONS INC,4272.121,3111.461,1132.038,8208.436,593.5599999999995,204.64999999999947,0.1389380122894458,0.1807801504896474,,961.891,961.891,170.147,0.0,0.0,0.0,8208.436,8208.436,7614.876,388.91,,104.886,-74.432,7.71,188.638
001661,2020-12-31,2021-06-30,2020.0,NBR,G6359F137,NABORS INDUSTRIES LTD,5503.428,3803.78,909.46,2134.043,800.9710000000002,559.6430000000003,0.1455403795597944,0.6153574648692633,,1151.384,1151.379,1.576,243.5,243.5,0.005,2134.043,2134.043,1333.072,241.328,33.564,195.523,349.761,-805.648,853.699
001686,2020-02-29,2020-08-31,2019.0,APOG,037598109,APOGEE ENTERPRISES INC,1128.991,612.213,516.778,1387.439,355.05899999999997,123.94799999999998,0.31449232101938807,0.23984767153400488,,516.778,516.778,,0.0,0.0,0.0,1387.439,1387.439,1032.38,231.111,16.6,51.428,107.262,61.914,36.1
001689,2020-12-31,2021-06-30,2020.0,AEP1,03799Y005,APPALACHIAN POWER,13315.2,8970.9,6094.5,2796.2,1015.0999999999999,1015.0999999999999,0.07623618120644075,0.16656001312658952,,4344.3,4344.3,1750.2,0.0,0.0,0.0,2796.2,2796.2,1781.1,,,767.4,712.0,369.7,507.5
001690,2020-09-30,2021-03-31,2020.0,AAPL,037833100,APPLE INC,323888.0,258549.0,68139.0,274515.0,114656.0,75988.0,0.35399891320456456,1.1151910066188233,,65339.0,65339.0,2800.0,0.0,0.0,0.0,274515.0,274515.0,159859.0,38668.0,18752.0,7309.0,80674.0,57411.0,9700.0
001704,2020-10-31,2021-04-30,2020.0,AMAT,038222105,APPLIED MATERIALS INC,22353.0,11775.0,10587.0,17202.0,8072.0,4851.0,0.36111483917147585,0.4582034570699915,,10578.0,10578.0,9.0,0.0,0.0,0.0,17202.0,17202.0,9130.0,3221.0,2234.0,422.0,3804.0,3619.0,376.0
001706,2020-08-31,2021-02-28,2020.0,EPAC,292765104,ENERPAC TOOL GROUP CORP,824.294,465.068,360.934,493.292,230.43399999999997,50.12099999999998,0.2795531691362548,0.1388647231903893,,359.226,359.226,1.708,0.0,0.0,0.0,493.292,493.292,262.858,180.313,7.3,12.053,-3.159,5.557,20.72
001712,2020-12-31,2021-06-30,2020.0,TREC,894648104,TRECORA RESOURCES,316.833,112.426,230.635,208.626,43.97800000000001,19.64400000000001,0.13880498559177865,0.08517354261061855,,204.118,204.118,26.517,0.0,0.0,0.0,208.626,208.626,164.648,24.334,,13.351,25.565,4.966,16.148
001718,2020-06-30,2020-12-31,2020.0,AOXY,00754B301,ADVANCED OXYGEN TECHNOLOGY,0.654,0.348,0.306,0.043,-0.09200000000000001,-0.09200000000000001,-0.14067278287461776,-0.30065359477124187,,0.306,0.306,0.0,0.0,0.0,0.0,0.043,0.043,0.135,,,0.0,0.036,-0.103,0.0
001722,2020-12-31,2021-06-30,2020.0,ADM,039483102,ARCHER-DANIELS-MIDLAND CO,49719.0,29623.0,21302.0,64355.0,5338.0,2659.0,0.107363382208009,0.12482396019153132,,20000.0,20000.0,1302.0,0.0,0.0,0.0,64355.0,64355.0,59017.0,2679.0,160.0,823.0,-2386.0,1772.0,976.0
