permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
15531,55363,2020-12-31,2020-12-31,NEOS,64052L10,11,3,9999,0.101764,0.101764,0.101764,49757.0,0.6247,31.083197900000002,2191452.0,0.6247
15533,55364,2020-01-31,2020-01-31,NK,63016Q10,11,3,9999,0.667546,0.667546,0.667546,98460.0,6.32,622.2672000000001,835363.0,6.32
15533,55364,2020-02-29,2020-02-28,NK,63016Q10,11,3,9999,-0.234177,-0.234177,-0.234177,98460.0,4.84,476.54639999999995,221063.0,4.84
15533,55364,2020-03-31,2020-03-31,NK,63016Q10,11,3,9999,-0.404959,-0.404959,-0.404959,98498.0,2.88,283.67424,158767.0,2.88
15533,55364,2020-04-30,2020-04-30,NK,63016Q10,11,3,9999,0.354167,0.354167,0.354167,98498.0,3.9,384.1422,200218.0,3.9
15533,55364,2020-05-31,2020-05-29,NK,63016Q10,11,3,9999,0.728205,0.728205,0.728205,98509.0,6.74,663.9506600000001,459018.0,6.74
15533,55364,2020-06-30,2020-06-30,NK,63016Q10,11,3,9999,0.821958,0.821958,0.821958,107764.0,12.28,1323.3419199999998,798201.0,12.28
15533,55364,2020-07-31,2020-07-31,NK,63016Q10,11,3,9999,-0.089577,-0.089577,-0.089577,107764.0,11.18,1204.80152,350857.0,11.18
15533,55364,2020-08-31,2020-08-31,NK,63016Q10,11,3,9999,-0.347048,-0.347048,-0.347048,107970.0,7.3,788.181,303054.0,7.3
15533,55364,2020-09-30,2020-09-30,NK,63016Q10,11,3,9999,-0.05,-0.05,-0.05,108593.0,6.935,753.092455,243588.0,6.935
15533,55364,2020-10-31,2020-10-30,NK,63016Q10,11,3,9999,0.082913,0.082913,0.082913,108593.0,7.51,815.53343,225474.0,7.51
15533,55364,2020-11-30,2020-11-30,NK,63016Q10,11,3,9999,0.275632,0.275632,0.275632,108593.0,9.58,1040.32094,168177.0,9.58
15533,55364,2020-12-31,2020-12-31,NK,63016Q10,11,3,9999,0.391441,0.391441,0.391441,108727.0,13.33,1449.33091,849914.0,13.33
15534,55365,2020-01-31,2020-01-31,NTRA,63230710,11,3,9999,0.039181,0.039181,0.039181,78005.0,35.01,2730.95505,136363.0,35.01
15534,55365,2020-02-29,2020-02-28,NTRA,63230710,11,3,9999,0.082691,0.082691,0.082691,78252.0,37.905,2966.14206,131004.0,37.905
15534,55365,2020-03-31,2020-03-31,NTRA,63230710,11,3,9999,-0.212241,-0.212241,-0.212241,78652.0,29.86,2348.54872,284770.0,29.86
