gvkey,datadate,fyear,tic,cusip,conm,at,lt,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
016058,2020-08-31,2020,SCR,80919D202,SCORE MEDIA AND GAMING INC,78.707,49.503,29.204,29.204,0.0,0.0,0.0,0.0,20.719,20.719,51.182,,,1.858,-22.837,-37.93,5.397
016066,2020-12-31,2020,MRCC,610335101,MONROE CAPITAL CORP,585.123,350.689,234.434,234.434,0.0,0.0,0.0,0.0,61.581,61.581,13.202,,,0.0,74.931,1.646,0.0
016068,2020-12-31,2020,BGH,06760L100,BARINGS GLBL SH DUR HI YLD F,,,,,,,,,,,,,,,,,
016069,2020-03-31,2019,INVU,46183W101,INVESTVIEW INC,10.4,24.657,-14.257,-14.257,0.0,0.0,0.0,0.0,24.183,24.183,1.609,30.77,,5.245,4.625,-21.285,0.898
016093,2020-12-31,2020,EDI,86164W100,VIRTUS STNE H E M T INC FUND,,,,,,,,,,,,,,,,,
016101,2020-12-31,2020,ABBV,00287Y109,ABBVIE INC,150565.0,137468.0,13076.0,13076.0,3646.0,0.0,0.0,0.0,45784.0,45784.0,7509.0,15906.0,7755.0,798.0,17588.0,4616.0,6471.0
016103,2020-12-31,2020,SPPP,85207Q104,SPROTT PHYSICAL PLAT & PALLA,,,,,,,,,,,,,,,,,
016113,2020-12-31,2020,APAM,04316A108,ARTISAN PARTNERS ASSET MGMT,1151.962,867.167,180.477,180.322,0.0,0.0,0.0,0.155,899.567,899.567,533.747,,,3.099,318.677,212.617,6.625
016116,2020-12-31,2020,CONE,23283R100,CYRUSONE INC,6897.4,4339.2,2558.2,2558.2,53.0,0.0,0.0,0.0,1033.5,1033.5,872.1,121.3,0.0,0.0,456.3,41.4,
016123,2020-04-30,2019,GOE.H,38136K300,GOLDENEYE RESOURCES CORP,0.006,0.099,-0.093,-0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,,0.0,-0.009,-0.049,0.0
016125,2020-12-31,2020,XRN,37954A303,CHIRON REAL ESTATE INC,1100.906,643.146,444.805,369.846,0.0,77.625,77.625,74.959,93.73,93.73,41.638,12.3,0.0,0.0,34.52,-1.925,9.606
016149,2020-12-31,2020,OFS,67103B100,OFS CAPITAL CORP,483.813,324.857,158.956,158.956,,0.0,0.0,0.0,45.475,45.475,14.166,,,0.0,80.625,3.694,0.206
016150,2020-12-31,2020,SCM,858568108,STELLUS CAPITAL INVESTMENT,674.91,401.549,273.361,273.361,0.36,0.0,0.0,0.0,56.658,56.658,17.945,,,0.0,-3.488,20.192,0.0
016153,2020-12-31,2020,VSC.,92203N101,VANGUARD CANADIAN S-T CP ETF,,,,,,,,,,,,,,,,,
016154,2020-12-31,2020,VNFTF,92203B107,VANGUARD FTSE CDN REIT ETF,,,,,,,,,,,,,,,,,
016155,2020-12-31,2020,VDYIF,92203Q104,VANGUARD FTSE CDN DV YLD ETF,,,,,,,,,,,,,,,,,
016156,2020-12-31,2020,VSPFF,92206A106,VANGUARD S&P500 INDX ETF CAD,,,,,,,,,,,,,,,,,
016164,2020-12-31,2020,VFV.,92205Y105,VANGUARD S&P 500 INDEX ETF,,,,,,,,,,,,,,,,,
016187,2020-12-31,2020,6120B,282645936,EKSPORTFINANS ASA,1562.748,843.12,719.628,719.628,0.0,0.0,0.0,0.0,29.144,29.144,9.186,,,0.0,134.151,4.99,0.567
016188,2020-12-31,2020,CGNX,192422103,COGNEX CORP,1800.702,538.5,1262.202,1262.202,314.952,0.0,0.0,0.0,811.02,811.02,172.2,398.575,130.982,13.303,242.4,176.186,26.503
016225,2020-12-31,2020,WES,958669103,WESTERN MIDSTRM PRTNRS LP,11830.027,8934.815,2761.131,2761.131,22.195,0.0,0.0,0.0,2772.592,2772.592,1196.96,,,423.091,1637.418,527.012,491.086
016245,2020-12-31,2020,PBCT,712704105,PEOPLE'S UNITED FINL INC,63091.8,55489.0,7602.8,7358.7,,244.1,244.1,244.1,2231.8,2231.8,395.0,873.8,,45.8,842.9,219.6,84.2
016269,2020-09-30,2020,ENTA,29251M106,ENANTA PHARMACEUTICALS INC,486.132,29.073,457.059,455.58,0.0,1.479,1.479,1.479,122.473,122.473,160.468,,136.756,1.445,7.088,-36.168,3.644
016271,2020-12-31,2020,SABK,83636T104,SOUTH ATLANTIC BANCSHARES,946.541,848.719,97.822,97.822,,0.0,0.0,0.0,41.566,41.566,5.241,20.359,,0.911,-22.741,7.196,1.266
016305,2020-12-31,2020,AGRPY,00400T102,ABSA GROUP LTD,100313.623,91645.594,7578.36,7578.36,,0.0,0.0,0.0,8235.49,8235.49,4243.045,1816.773,,,456.453,472.571,390.413
016348,2020-12-31,2020,ISNPY,46115H107,INTESA SANPAOLO SPA,1208536.879,1128594.475,79399.98,79399.98,,0.0,0.0,0.0,24094.46,24094.46,2954.401,9811.842,,518.316,-2618.098,2580.731,2865.203
016384,2020-12-31,2020,VOYA,929089100,VOYA FINANCIAL INC,180518.0,169340.0,10110.0,10110.0,0.0,625.0,625.0,0.0,7649.0,7649.0,6986.0,,,0.0,1209.0,213.0,55.0
016401,2020-03-31,2019,CRUS,172755100,CIRRUS LOGIC INC,1592.677,362.898,1229.779,1229.779,4.465,0.0,0.0,0.0,1281.124,1281.124,546.757,478.762,347.647,15.656,295.815,159.498,60.2
016426,2020-12-31,2020,ELFIF,268575107,E-L FINANCIAL CORP LTD,24945.223,17294.736,6473.999,6173.998,321.587,300.001,300.001,300.001,2564.899,2564.899,1788.509,,,0.0,329.075,499.692,12.274
016428,2020-12-31,2020,FRFHF,303901102,FAIRFAX FINANCIAL HOLDINGS,74054.0,56526.7,13856.6,12521.1,356.4,1335.5,1335.5,1335.5,19735.0,19735.0,18428.5,,,273.3,139.8,218.4,733.9
016431,2020-12-31,2020,GWLIF,39138C106,GREAT-WEST LIFECO INC,600490.0,573475.0,24028.0,21314.0,646.0,2714.0,2714.0,2714.0,60558.0,60558.0,56516.0,,,0.0,9610.0,3076.0,438.0
016432,2020-10-31,2020,LRCDF,51925D106,LAURENTIAN BANK OF CANADA,44167.66,41556.419,2611.241,2367.203,55.333,244.038,244.038,244.038,1710.838,1710.838,660.977,649.85,,41.201,698.677,114.085,65.648
016453,2020-05-31,2019,NEOG,640491106,NEOGEN CORP,797.182,72.005,725.177,725.177,18.125,0.0,0.0,0.0,418.171,418.171,203.495,128.756,14.75,24.052,85.878,59.475,18.396
016456,2020-12-31,2020,HNGR,41043F208,HANGER INC,950.751,899.774,50.977,50.977,0.0,0.0,0.0,0.0,1001.15,1001.15,915.096,,,28.092,155.567,38.192,34.847
016466,2020-06-30,2020,SGLDF,78573W201,SABRE GOLD MINES CORP,18.277,18.954,-0.677,-0.677,0.035,0.0,0.0,0.0,0.0,0.0,0.0,5.855,,0.0,-3.751,-7.085,0.412
016476,2020-11-30,2020,LEVI,52736R102,LEVI STRAUSS & CO,5641.241,4341.766,1299.475,1299.475,4.953,0.0,0.0,0.0,4452.609,4452.609,1888.59,2257.328,,130.383,469.586,-127.141,141.795
016477,2020-12-31,2020,LEA,521865204,LEAR CORP,13198.6,8583.7,4467.3,4467.3,84.8,0.0,0.0,0.0,17045.5,17045.5,15340.3,572.5,557.0,452.3,663.1,158.5,539.9
016478,2020-12-31,2020,EOG,26875P101,EOG RESOURCES INC,35804.601,15502.714,20301.887,20301.887,4859.327,0.0,0.0,0.0,11017.977,11017.977,4003.581,3340.423,,3464.7,5007.783,-604.572,3872.496
016480,2020-12-31,2020,RSPI,761227305,RESPIRERX PHARMACEUTICALS,0.085,8.148,-8.063,-8.085,0.0,0.022,0.022,0.022,0.0,0.0,0.0,3.315,0.638,0.0,-0.513,-4.301,0.0
016484,2020-08-31,2020,NCA,67062C107,NUVEEN CALIFORNIA MUN VAL FD,,,,,,,,,,,,,,,,,
016486,2020-12-31,2020,BCC,09739D100,BOISE CASCADE CO,1965.718,1114.919,850.799,850.799,18.263,0.0,0.0,0.0,5474.838,5474.838,4536.051,506.915,,79.429,294.516,174.979,80.169
016494,2020-05-31,2019,LZGI,50247T104,LZG INTERNATIONAL INC,,,,,,,,,,,,,,,,,
016500,2020-12-31,2020,RCO.UN,596315101,MIDDLEFIELD CAN-GLOBAL REIT,19.308,1.167,18.141,18.141,0.0,0.0,0.0,0.0,0.66,0.66,0.321,,,0.0,4.245,-3.282,0.0
016508,2020-12-31,2020,ZSP.,05575T100,BMO S&P 500 INDEX ETF,,,,,,,,,,,,,,,,,
016509,2020-12-31,2020,ZGD.,055695209,BMO EQL WT GLBL GOLD IND ETF,,,,,,,,,,,,,,,,,
016510,2020-12-31,2020,ZIN.,05584D104,BMO EQUAL WEIGHT INDUSTRIALS,,,,,,,,,,,,,,,,,
016511,2020-12-31,2020,BLPEF,05581T102,BMO LADDERED PFD SHR IDX ETF,,,,,,,,,,,,,,,,,
016528,2020-12-31,2020,EFRTF,65344U101,NEXUS INDUSTRIAL REIT,710.499,361.733,348.766,299.579,0.0,49.187,49.187,49.187,63.797,63.797,22.159,3.474,,0.0,24.348,35.234,
016530,2020-12-31,2020,ARDC,04014F102,ARES DYNAMIC CREDIT ALLOC FD,,,,,,,,,,,,,,,,,
016531,2020-12-31,2020,ZIXI,98974P100,ZIX CORP,449.724,299.737,149.987,34.435,,115.552,115.552,115.552,218.478,218.478,92.482,85.555,22.813,18.01,31.28,-6.425,32.329
016533,2020-12-31,2020,FEI,33739B104,FIRST TR MLP & ENRGY INCM FD,,,,,,,,,,,,,,,,,
016540,2020-12-31,2020,SILJ,032108649,AMPLIFY JUNIR SILVR MINR ETF,,,,,,,,,,,,,,,,,
